workload,gap_tsc_ticks,k_prefill,submitted,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,median_hardware_observed,min_hardware_observed,max_hardware_observed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
4KiB,100,256,257,10,211.0,220,225,47001.0,47278.8,67057.0,256,256,257.0,257,257,0,0,0,10,0,1
4KiB,100,288,289,10,218.0,228,234,55501.0,58598.8,41941.0,288,288,289.0,289,289,0,0,0,10,0,1
4KiB,100,320,321,10,210.5,223,226,49657.0,51738.4,58008.0,316,320,321.0,316,321,0,5,0,10,0,1
4KiB,150,96,97,10,13.0,13,13,20519.0,20567.6,25662.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,150,114,115,10,12.0,13,13,24072.0,24178.8,31716.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,150,128,129,10,12.5,13,13,26448.0,26493,165485.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,150,160,161,10,12.0,16,24,33206.0,33548.4,35240.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,150,192,193,10,12.0,13,13,38311.0,38327.4,1184940.0,186,192,192.0,187,193,0,6,0,10,0,1
4KiB,150,224,225,10,10.0,13,13,43174.0,42242,2251484.0,204,214,208.0,205,215,10,20,0,10,0,1
4KiB,150,256,257,10,12.0,13,13,49728.0,49792.4,37280.0,256,256,257.0,257,257,0,0,0,10,0,1
4KiB,150,288,289,10,11.0,19,39,52503.0,55058,2235060.0,215,226,223.5,215,227,62,74,0,10,0,1
4KiB,150,320,321,10,209.0,217,218,63401.0,63843.8,50100.0,320,320,321.0,321,321,0,0,0,10,0,1
4KiB,200,96,97,10,12.5,14,16,25411.0,25455.4,96746.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,200,114,115,10,13.0,14,14,29309.0,29322.2,26137.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,200,128,129,10,13.0,13,13,31608.0,31616.6,15450.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,200,160,161,10,12.0,13,19,40238.0,40477,22373.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,200,192,193,10,9.5,10,10,46267.0,46283.2,19096.0,192,192,193.0,193,193,0,0,0,10,0,1
4KiB,200,224,225,10,13.0,14,15,55946.0,55841.2,27814.0,224,224,225.0,225,225,0,0,0,10,0,1
4KiB,200,256,257,10,12.5,13,15,59784.0,60696.4,27873.0,256,256,257.0,257,257,0,0,0,10,0,1
4KiB,200,288,289,10,12.0,14,71,69646.0,69661.8,33507.0,288,288,289.0,289,289,0,0,0,10,0,1
4KiB,200,320,321,10,13.0,15,15,76497.0,76390,30258.0,320,320,321.0,321,321,0,0,0,10,0,1
4KiB,300,96,97,10,12.0,13,14,34556.0,34614.6,9592.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,300,114,115,10,12.0,13,13,39927.0,39978.4,15752.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,300,128,129,10,12.5,13,13,44121.0,44177.6,2741.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,300,160,161,10,12.5,13,14,52322.0,52419.8,6984.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,300,192,193,10,12.0,14,15,66489.0,67305.6,19500.0,192,192,193.0,193,193,0,0,0,10,0,1
4KiB,300,224,225,10,11.0,13,13,74832.0,75038.2,2227545.0,215,224,222.0,215,225,0,10,0,10,0,1
4KiB,300,256,257,10,11.0,13,17,85362.0,85990.8,2268014.0,212,220,218.5,212,220,37,45,0,10,0,1
4KiB,300,288,289,10,12.0,12,13,96327.0,96394.2,3362.0,288,288,289.0,289,289,0,0,0,10,0,1
4KiB,300,320,321,10,13.5,16,17,110560.0,110704.8,3075.0,320,320,321.0,321,321,0,0,0,10,0,1
64KiB,0,96,97,10,25.0,43,44,791.0,1163.8,444150.0,96,96,97.0,97,97,0,0,0,10,0,1
